"3750","9788","7357","3","291.34","2002-09-20 11:30:00","Processing","2002-09-20 11:30:00"
"2342","8088","8233","2","169.96","2016-11-23 12:29:23","Shipped","2016-11-23 12:29:23"
"8611","6498","9815","2","472.47","2018-01-28 06:12:18","Delivered","2018-01-28 06:12:18"
"8543","3922","9566","4","288.1","2021-07-05 05:35:41","Shipped","2021-07-05 05:35:41"
"934","1047","4447","5","87.42","2004-06-29 00:17:40","Processing","2004-06-29 00:17:40"
"4707","1596","256","3","448.42","2000-04-03 21:30:05","Received","2000-04-03 21:30:05"
"1718","6796","7178","1","67.53","2007-03-18 11:15:42","Shipped","2007-03-18 11:15:42"
"1013","9016","1711","3","315.83","2005-02-15 08:37:25","Shipped","2005-02-15 08:37:25"
"5504","1876","8707","5","458.2","2010-04-27 10:21:47","Delivered","2010-04-27 10:21:47"
"7381","6827","9674","1","378.54","2006-05-14 13:17:52","Delivered","2006-05-14 13:17:52"
"1240","9856","4259","3","350.22","2015-04-28 21:32:02","Processing","2015-04-28 21:32:02"
"5652","1181","7285","4","137.59","2002-06-11 23:20:09","Received","2002-06-11 23:20:09"
"6153","1744","2250","3","486.17","2010-11-29 03:06:01","Received","2010-11-29 03:06:01"
"364","3230","656","1","313.97","2019-08-15 20:44:07","Shipped","2019-08-15 20:44:07"
"7189","5408","7737","5","5.71","2009-10-17 05:20:23","Shipped","2009-10-17 05:20:23"
"2531","1607","7722","4","236.32","2017-11-07 19:03:58","Shipped","2017-11-07 19:03:58"
"5550","2546","3313","5","351.45","2011-02-26 06:14:48","Delivered","2011-02-26 06:14:48"
"4649","3658","4965","2","2.39","2018-10-29 03:37:20","Received","2018-10-29 03:37:20"
"5595","511","8489","4","12.48","2010-07-02 02:12:21","Shipped","2010-07-02 02:12:21"
"8709","8919","9545","1","248.96","2006-02-08 04:27:16","Processing","2006-02-08 04:27:16"
"3222","2020","7399","2","205.96","2017-12-05 22:39:49","Received","2017-12-05 22:39:49"
"4110","9749","1709","3","344.15","2007-09-21 06:05:18","Shipped","2007-09-21 06:05:18"
"4528","5400","1961","5","282.63","2017-02-22 03:18:11","Received","2017-02-22 03:18:11"
"6887","4229","841","2","376.46","2015-04-03 03:24:56","Delivered","2015-04-03 03:24:56"
"3869","4727","9476","2","352.8","2021-03-01 04:11:19","Delivered","2021-03-01 04:11:19"
"6128","2587","2245","3","189.19","2012-03-18 17:53:47","Processing","2012-03-18 17:53:47"
"109","3555","2526","3","159.26","2019-05-18 20:11:42","Received","2019-05-18 20:11:42"
"3641","6363","6658","5","386.56","2018-04-26 06:15:50","Received","2018-04-26 06:15:50"
"8286","3062","3027","4","380.39","2014-04-30 17:54:04","Shipped","2014-04-30 17:54:04"
"1081","3159","6830","2","133.51","2010-04-04 21:05:25","Shipped","2010-04-04 21:05:25"
"193","228","5119","1","385.56","2002-07-15 21:43:40","Shipped","2002-07-15 21:43:40"
"2665","2398","9245","4","44.21","2021-10-17 12:14:47","Processing","2021-10-17 12:14:47"
"5117","2445","7012","2","288.75","2004-11-17 01:03:31","Delivered","2004-11-17 01:03:31"
