"9623","531","803","5","Simply the best. It is a little too wide and tight for my liking, but I like the extra space. Great price and I am using it with the TRS-80.I bought this to use in my Kindle Fire HD2.  I love it.  I would definitely buy it again","2010-04-01 23:24:41","1"
"6425","3739","1199","4","The slicer works easily and looks good.  It is very sharp and easy to use.  The bottom is not very flexible","2018-11-09 00:31:53","4"
"8500","4302","7997","5","Easy to install on gutters and has the right tools.works great.Nice little light.  Works as advertised.  The plastic parts are solid and the light is pretty sturdy.","2004-04-23 07:35:39","0"
"6664","9980","4157","4","Installed gtwo of these bulbs, and they work fine.  I also installed one of the three bulbs.  The bulb seems to be a bit larger than","2010-03-25 04:59:04","1"
"7498","5045","430","4","great food, love the heart and flavors, and the quality is great.My dog loves this treat.I bought this for a friend's cat and she is a huge fan of it. It is a little hard","2011-01-07 04:41:12","3"
"1637","9571","3883","5","My cat loves it! Please check out our review. http://youtu.","2010-06-18 02:07:54","5"
"4558","1338","5326","5","My review is based on the fact that these cost a quarter of the equivalent at a big box store and way less than the best

I don't make a living pulling cables but I have, at times, helped installers run network and power cables at home and the office. So I do have some exposure to expensive brands of fish rods. I am putting in a home theater system with a projector in my daughter's playroom and I decided to do-it-myself as a bit of weekend therapy. Now, knowing I was going to use the rods only a few times I did not want to spend more than was necessary. So these rods seemed to fit the bill and I figured I could return them if they were really bad. I imagine I'm a fairly typical user of this product in that you buy it for one or two projucts and that's it. A professional would not find these durable enough for daily use.

Yes, they are a little thin but I was only putting cables into mostly internal wall spaces and not needing to run them over and around complicated obstacles. Unless of course you count insulation and AC wiring cables!  I found no problem with the brass ferrules and not once did I have any issue with the ends breaking off but remember I was only using them for a day. It might have been helpful if they were a little thicker pushing by insulation but it really wasn't that bad. Once the extra  flexibility was really helpful. I was using only two or three at a time.

One last thing - I have seen the price of the rods change by $10 or so from one day to the next, Use camel camel camel dot com to check on pricing if you are not in a rush","2014-03-07 09:31:00","-1"
"6843","9595","4427","1","I've owned this sander for a couple of years now and I'm very happy with the result. It is so small that it's not portable and takes up a lot of space. The only thing that I can say is that I am very pleased with the quality of the product. The machine works well. I have used it for over a year and it works great. It has great torque and is quite loud. I highly recommend it to anyone who needs an accurate sander for their tool box.This is my second one, but I've only used it once,","2008-01-09 19:30:36","4"
"1277","6469","7397","4","These are really nice glasses, and I am very pleased with them.

The only downside is that the top is a bit of a mess, but if you don't care about that, it is okay.

If you're looking for a glassware that","2019-01-22 16:42:21","0"
"2495","2368","7900","5","I had my doubts about this but it work out. I left this unit out on my desk and two other people wanted to take it.","2013-11-27 18:31:42","3"
"213","4295","4560","4","This case was a good buy. The quality is good. The only reason I gave it 4 stars is that the plastic part is too small to fit comfortably inside the case. The case is made of plastic and the plastic part is too loose.","2014-05-24 10:44:33","2"
"4366","1546","9531","4","I recently got this HTC Portamate PM1000 mobile base and a Delta 50-345.  The HTC comes with everything you need to assemble the base, while you have to provide your own hardwood for the Delta.  The HTC is adjustable to the nearest inch, making it a bit looser fit than the Delta (so, you still need some wood to shim your machine tight, or attach your tool to the stand).  I think the Delta would be harder to assemble if you didn't already have a drill press or some similar means of drilling a perfectly squared hole.  The rolling action of both is pretty comparable.  Overall, I'd probably choose this HTC over the Delta if I needed a third mobile base.","2004-07-08 23:33:45","-3"
"8396","9806","1906","5","Truly better than the picture.  I love the look.  My husband likes it too.  It is so colorful.  I am very happy with the purchase.This is a great fan. It is quiet and does not have","2008-07-10 09:29:48","-2"
"1551","3047","8606","5","I have two of these for my Dachshunds. Dachshunds can be hard to fit due to their super deep chest and tapered neck, but these harnesses fit great. The harnesses are durable, easy to clean (throw them in the washer), are made of good materials, and are expertly made. Very good quality.","2002-06-03 15:14:33","-2"
"8620","1068","6680","3","I really like hoover and this is the only one I've used.  It's been a couple months and I still haven't used it.  The plastic is a bit rough and that's a good thing.  I'm not sure why.  I don't know how long it'll last.  I love the color and the fact that the lid is a little longer than I expected.  I guess I'll just go with the plastic one.Love this blanket!  It's very soft, cozy, and seems sturdy.  I'm not sure how long it will last but it's nice to have this.  It fits perfectly in my bathroom and it","2019-06-30 05:07:52","0"
"8547","9619","5633","4","Clean and apply, works great.I love the materials. I will buy more for the kids.Great product. Great price. I will buy another one for myself","2011-07-19 22:27:07","2"
"1352","5530","9284","3","These fit the cat food dispenser well.  The two large bowls are just the right size.  The top bowl is the most solid and is the only one I have","2008-06-06 06:49:56","-3"
"3478","8763","4513","5","I have bought 3 of these. The only problem is that they are too small for my 4.5"" rangefinder. I am 6' tall, and the cover is too large for my 6"" scope. So I bought a medium size. This one is perfect.Great for the price.  I have a 11","2011-05-18 00:12:17","2"
"2690","381","8322","5","A great product and excellent customer service.  Great product for the money!This is a pretty good","2011-07-04 00:05:02","-3"
"3100","3023","7350","5","These work wonderful with my Westone UM2 headphones.  Great price and excellent value.  Would recommend this for anyone that would want to replace their earphone tips.","2012-07-15 11:47:10","2"
"6055","5833","7138","5","This was SO EASY to use. If your screen is ripped this is THE only product. The tools that come with it are very helpful. My screen looks brand new. Very easy to use and well made.","2020-08-21 10:44:23","5"
"8392","2042","9664","5","It is a pretty simple device. For me the nice feature was the built in igniter. It is very reliable and easy to operate.  It keeps your hands away from the flame when you light it. Very handy for those that don't use torches a lot.","2001-12-15 15:14:57","3"
"3717","7980","5374","3","These urns are very large.  They are very well made.  I also like the fact that they do not have the dishwasher, which is nice,","2022-02-01 15:23:21","4"
"4410","6469","7397","4","This is my second pair of Brainwavz Angled Memory Foam earpads. The first set I purchased was for a a pair of Audio Technica M50's that I enjoyed, but always found the earpads a bit uncomfortable. The Brainwavz fit perfectly and installed in less than 2 minutes.

The second pair are for a set of HiFiMan HE-400 headphones. It's here that I'm deducting a star. While it is nominally true that it will fit the HiFiMan series of heaphones, the Brainwavz are not an exact fit. First off, the earpads are oval shaped while the HiFiMan uses round circular earpads. Second, the HiFiMan headphone earpads use an inner lock ring on the earpad. This requires you to remove the lock ring and insert it into the Brainwavz earpad. The ring is circular, which requires a great deal of stretching of the Brainwavz earpad. I did pre-stretch it before attempting to insert the lock ring but it is a struggle fitting a circular plastic ring into an oval earpad. I cracked one ring on the first attempt (thank God for duck tape) that I repaired and finally got it in. Having learned from the first, I was able to get the second ring in a bit easier.

As you can see by the photo, they look pretty good once installed. They are a 1000% improvement in comfort from the stock HiFIMan earpads, which are very shallow and cause your ear to rest upon the inner grill cover. The Brainwavz are like to cushy pillows on your ears and more importantly add some distance so your ears are not resting directly on the grill.

From a sound perspective, my HE-400's are a bit airier with the velour pads, but in truth I have not experienced any major sound changes using the new pads.

The Brainwavz are a worthy upgrades for HiFiMan headphone owners. Just be aware of that you have to fit those rings before you can mount the earpads.","2006-11-19 04:37:19","0"
"8513","7224","1422","5","Love love love this cooler. My gf and I use this for our picnics in the summer. It makes a great lil table for stuff when sitting down.","2006-02-09 17:17:48","1"
"1635","6535","7840","5","It works.
Thankfully, haven't had to use it.
It's small. Palm-of-hand small.
But if you're in the middle of trying to find you way out of the Great Quake of 2017 here in Southern California, I guess the last thing you need to be carrying around is some sort of enormous Boom Box.","2008-12-30 15:30:28","-2"
"6035","2206","1323","5","These are good solid yoga pants. The only problem is that they are too small for my arms.I bought this for a friend, and he is a big guy. He likes it so much that","2006-05-02 02:51:29","0"
"6238","8631","7806","4","This is a great, compact, portable handy-dandy item to carry in my car. I appreciated the insert showing the various features, but wondered why a power adapter (DC5V,500mA, whatever THAT is!) wasn't included to charge the unit.  Manufactures would be well-advised to remember that Baby Boomers still want to get out camping, or maybe even just upgrade our emergency gear. We will pay for quality, but need buttons to be easily read, instructions clear, and prefer all parts included.
I feel like an idiot; can anyone tell me if the built-in lithium battery can be replaced, or is the product rendered useless when the battery dies?","2021-03-22 04:26:28","2"
"9174","6395","2359","3","I didn't know these were 108s when I bought them, so thats my fault, but even so the closure isn't that great and the wraps are just a bit more stiff than I'd like, they don't stay on my hands as well as I'd like either.","2015-02-05 01:42:46","0"
"5040","6766","5555","5","I use this switch to turn on blue led strip lighting in my garage.  I have it set up so whenever the opener light is on, this switch is on.  It really helps light up the garage when i enter and leave.  Plus its really cool that i can control this switch from my phone with the myQ app.","2009-04-14 10:48:23","2"
"1571","5771","620","1","horrible. bought for a rental ended up not even using them. you cant screw them tight enough to stay on the handle will twist off in your hand from the outside.","2014-10-22 01:10:50","-3"
