"0","42","481","2008-03-30 12:49:55"
"1","7","287","1993-03-21 06:21:24"
"2","13","949","2011-10-22 23:48:24"
"3","37","1356","2015-05-26 07:13:33"
"4","30","1017","1983-03-16 10:12:40"
"5","30","1963","1991-08-12 17:43:13"
"6","6","1452","2022-07-13 02:37:37"
"7","4","1736","2007-10-07 12:00:51"
"8","7","1838","2013-10-05 17:18:36"
"9","43","811","1980-08-16 14:38:25"
"10","28","235","1976-11-17 10:38:50"
"11","15","1989","2000-10-13 22:50:02"
"12","41","821","2014-11-10 03:29:51"
"13","49","424","2014-10-29 16:14:40"
"14","39","878","1973-10-14 01:53:20"
"15","15","371","2013-10-02 07:32:13"
"16","9","732","2015-01-31 05:02:42"
"17","43","327","1977-11-21 08:35:06"
"18","39","1836","1995-04-23 17:25:39"
"19","6","1557","2016-05-07 17:12:34"
"20","20","269","1991-10-11 01:18:29"
"21","37","1933","1990-02-06 21:06:45"
"22","32","1477","1986-06-24 10:10:11"
"23","28","1550","1989-03-25 00:04:39"
"24","26","32","2003-09-29 14:03:12"
"25","0","764","2002-03-16 04:07:22"
"26","48","1848","2006-10-10 08:19:50"
"27","8","815","2019-09-27 23:54:09"
"28","25","905","2014-01-29 03:34:35"
"29","3","243","1991-10-29 10:32:09"
"30","4","624","1970-08-16 14:03:52"
"31","25","158","2007-09-18 15:05:23"
"32","37","1051","1973-02-25 11:54:31"
"33","25","1829","2006-11-03 05:32:19"
"34","49","375","1979-09-22 07:13:24"
"35","15","821","1989-08-28 11:57:03"
"36","33","628","1998-02-05 05:36:45"
"37","17","860","2020-03-06 10:55:01"
"38","30","308","2007-04-09 12:24:11"
"39","22","1050","1995-04-25 15:52:58"
"40","48","582","1991-08-15 05:38:23"
"41","34","1068","1999-06-29 06:02:45"
"42","22","502","2022-02-14 03:37:51"
"43","40","412","1971-08-23 18:18:59"
"44","5","835","1973-12-22 20:27:33"
"45","45","1963","2008-12-06 09:33:59"
"46","34","628","2021-09-16 13:42:35"
"47","40","1002","2000-04-25 02:28:28"
"48","28","1439","1976-06-27 08:58:55"
"49","44","316","1987-08-14 13:15:24"
"50","39","790","1984-10-27 14:38:39"
"51","14","321","2005-04-03 15:26:56"
"52","24","77","1991-02-20 23:58:54"
"53","6","879","2003-01-05 06:08:34"
"54","24","1944","1976-06-17 19:05:22"
"55","29","656","1973-07-17 22:01:25"
"56","17","1225","1976-05-11 12:01:34"
"57","26","1905","2007-03-06 13:27:51"
"58","18","1718","1993-11-05 20:24:24"
"59","7","1990","2018-08-09 09:35:32"
"60","42","63","2002-08-09 21:58:10"
"61","45","482","1992-04-11 15:44:30"
"62","46","1861","1999-10-12 21:44:46"
"63","35","780","1979-12-28 18:33:38"
"64","42","1735","1999-10-27 02:55:53"
"65","27","1384","2019-03-18 07:10:09"
"66","7","1875","2006-12-22 07:32:42"
"67","33","350","2017-12-03 16:34:48"
"68","20","1569","2009-02-01 12:09:39"
"69","8","666","2020-11-30 23:34:59"
"70","27","64","1986-02-25 04:43:17"
"71","26","64","1980-08-22 01:36:00"
"72","43","1896","1996-07-12 18:52:02"
"73","49","1431","1985-11-28 02:16:58"
"74","14","1896","2004-09-29 23:56:17"
"75","1","1849","2003-01-10 09:58:05"
"76","22","1291","1997-07-26 12:39:52"
"77","12","1966","2000-04-07 19:20:12"
"78","1","1028","1989-12-27 18:55:40"
"79","43","1575","2003-01-15 01:41:19"
"80","36","1840","2016-11-09 21:14:01"
"81","10","735","2020-03-17 17:02:28"
"82","15","1821","1979-02-17 18:53:10"
"83","30","11","2005-09-22 23:11:41"
"84","47","1663","2010-05-15 21:15:48"
"85","10","1326","1998-03-20 22:01:58"
"86","44","1312","1991-08-01 19:19:08"
"87","37","1898","1981-08-15 21:45:37"
"88","48","1541","1977-07-19 06:56:08"
"89","17","622","2010-05-26 09:32:24"
"90","31","1050","1986-07-12 13:06:53"
"91","49","316","2020-01-07 02:09:17"
"92","38","661","1977-10-08 16:53:42"
"93","30","1235","1991-07-21 16:08:54"
"94","9","1473","1994-11-16 11:12:47"
"95","7","858","2009-07-06 19:24:45"
"96","32","1117","1972-04-12 16:20:49"
"97","49","179","1992-10-01 17:45:54"
"98","27","335","2014-03-07 05:24:48"
"99","18","712","1981-09-15 02:50:17"
"100","36","1852","1976-10-21 03:50:33"
"101","23","905","2005-08-23 07:04:24"
"102","26","1744","1980-07-03 02:33:11"
"103","17","1895","1971-06-05 16:56:25"
"104","17","60","2008-02-28 11:34:04"
"105","26","1311","2017-09-06 15:46:14"
"106","40","451","1981-10-14 07:47:15"
"107","35","577","2012-06-07 00:12:05"
"108","20","39","1971-07-17 06:03:27"
"109","20","883","2011-10-14 20:51:41"
"110","3","1785","1971-06-06 00:21:16"
"111","14","1823","2016-07-12 02:11:53"
"112","36","1560","2000-03-15 10:03:32"
"113","8","1136","2006-01-17 14:14:52"
"114","2","349","1994-06-25 01:19:41"
"115","35","439","2002-12-31 10:30:39"
"116","14","321","1975-10-31 11:42:42"
"117","43","1499","1993-06-11 12:04:05"
"118","45","104","2007-11-16 03:23:31"
"119","5","924","1989-12-06 03:35:39"
"120","16","1310","1998-09-30 05:46:21"
"121","38","542","1989-10-24 08:07:40"
"122","44","401","1981-05-03 23:30:53"
"123","44","698","1987-05-20 05:52:27"
"124","30","1652","2022-02-03 21:00:23"
"125","43","937","2020-12-30 14:50:56"
"126","15","1600","2002-04-26 04:58:54"
"127","30","1966","1986-01-22 02:14:55"
"128","12","858","1989-07-04 06:45:57"
"129","14","632","2014-01-19 13:56:21"
"130","21","1900","1976-06-08 03:31:47"
"131","40","1902","1989-10-16 06:32:56"
"132","40","944","2007-10-14 04:46:10"
"133","10","177","2019-04-18 08:33:39"
"134","28","350","2017-12-30 10:17:16"
"135","42","986","1984-02-18 09:57:47"
"136","45","1367","2000-09-11 21:30:10"
"137","1","386","1996-07-13 21:15:12"
"138","38","355","2007-07-12 21:47:50"
"139","23","747","2004-09-04 10:25:43"
"140","32","1948","2015-07-08 07:48:05"
"141","48","1876","1983-01-03 05:12:14"
"142","37","1127","1998-02-14 21:50:02"
"143","14","1319","1985-04-07 17:44:58"
"144","18","1902","2017-07-21 03:37:24"
"145","32","29","2009-08-06 10:14:49"
"146","42","45","1970-02-27 01:42:07"
"147","7","809","1991-06-19 07:09:38"
"148","22","229","2013-08-07 21:19:21"
"149","16","110","1979-02-18 10:58:46"
"150","37","1349","2011-08-13 16:30:02"
"151","23","1584","1987-08-17 22:10:22"
"152","10","137","1996-10-14 10:32:13"
"153","46","1374","1983-10-04 11:57:27"
"154","16","1807","1990-05-07 13:38:06"
"155","31","39","2004-08-18 08:51:22"
"156","24","1047","1980-09-19 18:22:44"
"157","12","786","1977-07-12 23:43:46"
"158","42","1615","1982-08-12 02:22:00"
"159","2","102","1982-11-19 03:35:51"
"160","16","1512","1977-02-13 00:43:03"
"161","23","1558","1976-05-19 02:11:12"
"162","42","701","2017-08-07 21:41:05"
"163","10","1904","1994-11-13 21:50:27"
"164","6","1619","1984-04-01 18:51:34"
"165","3","1035","2015-11-25 17:03:23"
"166","35","171","1978-07-14 09:38:08"
"167","4","472","1974-05-13 21:37:31"
"168","10","1975","1985-12-20 08:43:07"
"169","23","343","1994-06-12 05:54:58"
"170","35","452","1987-12-09 08:52:30"
"171","35","1927","2017-06-02 00:01:50"
"172","43","407","2021-01-26 00:40:11"
"173","8","118","2019-03-29 03:35:20"
"174","38","478","1976-03-02 09:25:46"
"175","34","1882","2021-02-27 13:57:42"
"176","39","1868","1989-04-11 06:53:34"
"177","35","534","1982-07-12 04:18:13"
"178","37","1734","1976-11-01 02:21:11"
